primary_key;order_reference;code_cip_id;salesrep_id;article_code;article_name;quantity;unit_price;discount;net_revenue;order_date;
19560;2105202234S0001;2260084;26;Vide;Vide;373;1705.23;38%;1057.24;2020-05-22;
19561;2105202234S0001;2260084;26;5046;Nutri-Pulpe 1000ml - 8.026.380.050.468;12;24.9;38%;185.26;2020-05-22;
19562;2105202234S0001;2260084;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;12;16.9;38%;125.74;2020-05-22;
19563;2105202234S0001;2260084;26;5048;Nutri-Pulpe Pêche Blanche 1000ml - 8.026.380.050.482;6;24.9;38%;92.63;2020-05-22;
19564;2105202234S0001;2260084;26;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;6;16.9;38%;62.87;2020-05-22;
19565;2105202234S0001;2260084;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;36;16.9;38%;377.21;2020-05-22;
19566;2105202234S0001;2260084;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-05-22;
19567;2105202234S0001;2260084;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;12;8.9;38%;66.22;2020-05-22;
19568;2105202234S0001;2260084;26;5064;Cœur d'Aloe Cube;60;;0%;;2020-05-22;
19569;2105202234S0001;2260084;26;5065;Totem Double Face;1;;0%;;2020-05-22;
19570;2105202234S0001;2260084;26;5150;Pop-Up Coeur D’Aloe Cube Offre Consommateur;1;;0%;;2020-05-22;
19571;2105202234S0001;2260084;26;5153;Présentoir de Sol Gamme Aloe;1;;0%;;2020-05-22;
19572;2105202234S0001;2260084;26;5154;Grand Aloe Vera Cartonné de Linéaire ou Vitrine;2;;0%;;2020-05-22;
19573;2105202234S0001;2260084;26;5156;Brochure Gamme Aloe Vera;50;;0%;;2020-05-22;
19574;2105202234S0001;2260084;26;5177;Echantillon Nutri-Pulpe;50;;0%;;2020-05-22;
19575;2105202234S0001;2260084;26;5586;Echantillon Pur Gel;50;;0%;;2020-05-22;
19576;2105202234S0001;2260084;26;5869;Echantillon Nutri-Pulpe Goût Pêche Blanche;50;;0%;;2020-05-22;
19577;2005201635S0001;2213034;26;Vide;Vide;397;2050.82;38%;1271.51;2020-05-22;
19578;2005201635S0001;2213034;26;5046;Nutri-Pulpe 1000ml - 8.026.380.050.468;12;24.9;38%;185.26;2020-05-22;
19579;2005201635S0001;2213034;26;5047;Nutri-Pulpe 500ml - 8.026.380.050.475;12;16.9;38%;125.74;2020-05-22;
19580;2005201635S0001;2213034;26;5048;Nutri-Pulpe Pêche Blanche 1000ml - 8.026.380.050.482;12;24.9;38%;185.26;2020-05-22;
19581;2005201635S0001;2213034;26;5049;Nutri-Pulpe Pêche Blanche 500ml - 8.026.380.050.499;12;16.9;38%;125.74;2020-05-22;
19582;2005201635S0001;2213034;26;5050;Pur Gel Feuille 250ml - 8.026.380.050.505;24;16.9;38%;251.47;2020-05-22;
19583;2005201635S0001;2213034;26;5051;Pur Gel Flacon 100ml - 8.026.380.050.512;24;9.9;38%;147.31;2020-05-22;
19584;2005201635S0001;2213034;26;5052;Aloe-Oil Huile Réparatrice 50ml - 8.026.380.050.529;24;8.9;38%;132.43;2020-05-22;
19585;2005201635S0001;2213034;26;5053;Aloe-Oil Crème Réparatrice 150ml - 8.026.380.050.536;12;15.9;38%;118.3;2020-05-22;
